Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,full_text,sentiment_score,age_bracket
19566,1078,54,"Overall great dress, runs small","This dress is beautiful with gorgeous coloring, nice thick, stretchy fabric and wonderful detailing including buttons. the only issue i had with it is that it's does run small, especially in the bust. i'm normally a medium to large, depending on cut so after reading the previous reviews, i ordered a large and it's pretty snug. still deciding whether i will keep or try for an xl, which is doubtful in availability at this point. i ordered it with two other pieces, both of those a medium fit fine.",4,1,0,General Petite,Dresses,Dresses,"Overall great dress, runs small. This dress is beautiful with gorgeous coloring, nice thick, stretchy fabric and wonderful detailing including buttons. the only issue i had with it is that it's does run small, especially in the bust. i'm normally a medium to large, depending on cut so after reading the previous reviews, i ordered a large and it's pretty snug. still deciding whether i will keep or try for an xl, which is doubtful in availability at this point. i ordered it with two other pieces, both of those a medium fit fine.",0.8007301092147827,45-54
17836,861,63,Very sheer,"Super flattering, a great length for me (5'9"") but very sheer.",4,1,2,General,Tops,Knits,"Very sheer. Super flattering, a great length for me (5'9"") but very sheer.",0.9990148544311523,55+
9304,940,31,Staple cardigan,"I've been searching for the perfect gray cardigan and i knew i had to have this one! unfortunately, the first cardigan i received had two obvious pulled threads so i returned it. i took a chance and ordered the cardigan again and i'm so glad i did. it is so comfy and goes with everything! my only concern is how it will hold up as it is already showing some fuzziness after two wears. if this makes it to the sale price, i would highly recommend.",4,1,0,General,Tops,Sweaters,"Staple cardigan. I've been searching for the perfect gray cardigan and i knew i had to have this one! unfortunately, the first cardigan i received had two obvious pulled threads so i returned it. i took a chance and ordered the cardigan again and i'm so glad i did. it is so comfy and goes with everything! my only concern is how it will hold up as it is already showing some fuzziness after two wears. if this makes it to the sale price, i would highly recommend.",0.9914340972900391,25-34
4587,829,50,,"The sales girl added this to my room, it's so darling and it came home with me.",5,1,1,General Petite,Tops,Blouses,". The sales girl added this to my room, it's so darling and it came home with me.",0.9998242259025574,45-54
14858,984,44,,"I bought the delaney blazer in size 6 -- and i really like it. there are surprising design elements which make it a unique piece -- the buttons of the sleeves are mismatched, the back material is different from the front, it has some exposed seams. like others have said it does have a boxy fit -- which i don't mind. i also found it to be a bit short. if both of these things are fine for you, the blazer is a great addition to a casual-creative professional look.",4,1,0,General,Jackets,Jackets,". I bought the delaney blazer in size 6 -- and i really like it. there are surprising design elements which make it a unique piece -- the buttons of the sleeves are mismatched, the back material is different from the front, it has some exposed seams. like others have said it does have a boxy fit -- which i don't mind. i also found it to be a bit short. if both of these things are fine for you, the blazer is a great addition to a casual-creative professional look.",0.9982660412788391,35-44
6323,938,62,Unique,"Gorgeous sweater, very unique, given as a gift so not sure how well it will wear",4,1,1,General Petite,Tops,Sweaters,"Unique. Gorgeous sweater, very unique, given as a gift so not sure how well it will wear",0.9983559250831604,55+
2494,1078,40,Not quite the right fit,"On the hanger, this looks like a great lbd. on me, not quite. the bell shape of this dress made it appear that i was carrying extra weight in the middle.  for reference, i tried a 0p, and i'm 5,1"", 102#, and 34a.",4,0,0,General Petite,Dresses,Dresses,"Not quite the right fit. On the hanger, this looks like a great lbd. on me, not quite. the bell shape of this dress made it appear that i was carrying extra weight in the middle.  for reference, i tried a 0p, and i'm 5,1"", 102#, and 34a.",-0.9983249306678772,35-44
6903,251,33,Really enjoy this cardigan,"I love the cardigan. it's super comfy and long enough to cover my behind. the pink and white stripe lining adds a softer touch. it's a little tight in the arms. i'm right between a small and medium, i wish i would have ordered the medium.",5,1,0,Initmates,Intimate,Lounge,"Really enjoy this cardigan. I love the cardigan. it's super comfy and long enough to cover my behind. the pink and white stripe lining adds a softer touch. it's a little tight in the arms. i'm right between a small and medium, i wish i would have ordered the medium.",0.9996205568313599,25-34
11234,872,33,Great tank,"Bought this in the turquoise color and it is awesome. for those worried about it being see-through, i'm wearing a black bra and you can't see it. it's the perfect weight. super bummed that the green is sold out but may check in stores.",5,1,0,General,Tops,Knits,"Great tank. Bought this in the turquoise color and it is awesome. for those worried about it being see-through, i'm wearing a black bra and you can't see it. it's the perfect weight. super bummed that the green is sold out but may check in stores.",0.9995660185813904,25-34
23058,940,44,Great for layering,"I love this sweater. it's sort of like a tunic and sort of like a vest. i am pairing it with leggings and a white long sleeve tee underneath. i'm 5'3"" 109 lbs and the xs fit very well. i love the versatility and design of this.",5,1,2,General,Tops,Sweaters,"Great for layering. I love this sweater. it's sort of like a tunic and sort of like a vest. i am pairing it with leggings and a white long sleeve tee underneath. i'm 5'3"" 109 lbs and the xs fit very well. i love the versatility and design of this.",0.9997194409370422,35-44
20005,828,46,Beautiful tank,"When you order online, you can't always be sure of the quality or sizing you will get. like the other reviewers, i found this piece to be beautiful and well made. it's made from rayon and not sheer. the coral, cream, green, and light gray flowers really pop against the black fabric. this piece is meant to be swingy and loose. however, i started with a large but exchanged for a medium. it still feels a little loose so if you're undecided about sizes, order down.",5,1,3,General,Tops,Blouses,"Beautiful tank. When you order online, you can't always be sure of the quality or sizing you will get. like the other reviewers, i found this piece to be beautiful and well made. it's made from rayon and not sheer. the coral, cream, green, and light gray flowers really pop against the black fabric. this piece is meant to be swingy and loose. however, i started with a large but exchanged for a medium. it still feels a little loose so if you're undecided about sizes, order down.",0.993120551109314,45-54
22154,1002,36,Almost good,"Maybe it's just me, but this skirt had a little more volume than i was expecting. i'm 5'7, around 125lbs and the small fit me well. i like that the waist is elastic in back providing some give, but allowing the front to look smooth. pockets are always great. i got a striped henley from retailer (which is awesome) to tuck into it & was excited for the 70s vibe.
the problem is that it fell an inch or two longer on me than the model, and i already worry about midi skirts appearing frumpy without the",3,0,12,General,Bottoms,Skirts,"Almost good. Maybe it's just me, but this skirt had a little more volume than i was expecting. i'm 5'7, around 125lbs and the small fit me well. i like that the waist is elastic in back providing some give, but allowing the front to look smooth. pockets are always great. i got a striped henley from retailer (which is awesome) to tuck into it & was excited for the 70s vibe.
the problem is that it fell an inch or two longer on me than the model, and i already worry about midi skirts appearing frumpy without the",0.9947308301925659,35-44
21888,1022,37,,"Love, love these jeans. being short they come right to my ankle. super soft and don?t require any hemming. i ordered my typical jean size of 26 and they fit like a glove. would love to have these in black and grey.",5,1,0,General,Bottoms,Jeans,". Love, love these jeans. being short they come right to my ankle. super soft and don?t require any hemming. i ordered my typical jean size of 26 and they fit like a glove. would love to have these in black and grey.",0.9935798645019531,35-44
18799,1094,43,Perfect summer dress!,I had eyed this simple yet stylish dress for awhile but hadn't tried it on yet. i managed to snag the orange version during the tag sale - $40 for maeve?? it is super flattering and will be a wardrobe staple for years.,5,1,0,General Petite,Dresses,Dresses,Perfect summer dress!. I had eyed this simple yet stylish dress for awhile but hadn't tried it on yet. i managed to snag the orange version during the tag sale - $40 for maeve?? it is super flattering and will be a wardrobe staple for years.,0.9982773065567017,35-44
5094,1078,51,Small,"Too tight in strange ways. beautiful dress i was so excited to receive it, however it just did not fit.",1,0,0,General,Dresses,Dresses,"Small. Too tight in strange ways. beautiful dress i was so excited to receive it, however it just did not fit.",-0.9993337988853455,45-54
1914,1066,57,Nice summer pants.,"1. i'm 5'5"" tall, 143 lbs, and 38-32-40 and my normal size 10s fit me perfectly.",5,1,5,General Petite,Bottoms,Pants,"Nice summer pants.. 1. i'm 5'5"" tall, 143 lbs, and 38-32-40 and my normal size 10s fit me perfectly.",0.9998490810394287,55+
17117,829,41,,"The reviews are accurate that have already been said about the material and size. i usually wear a size 2 and i bought a size 4. it fits perfectly. the blouse is very sheer, but if you wear a neutral colored bra, it should be fine. i like the flow and cut of this blouse",4,1,1,General Petite,Tops,Blouses,". The reviews are accurate that have already been said about the material and size. i usually wear a size 2 and i bought a size 4. it fits perfectly. the blouse is very sheer, but if you wear a neutral colored bra, it should be fine. i like the flow and cut of this blouse",0.9995182752609253,35-44
23153,1094,29,Gorgeous dress!,"I love the look of this dress when it's on. the only issue i have with it is that the inside of the dress is white, which shows through on the chest slightly, but it's such a pretty dress and such an overall great fit, that i'm keeping it anyway!",5,1,0,General,Dresses,Dresses,"Gorgeous dress!. I love the look of this dress when it's on. the only issue i have with it is that the inside of the dress is white, which shows through on the chest slightly, but it's such a pretty dress and such an overall great fit, that i'm keeping it anyway!",0.9990296363830566,25-34
23002,1024,38,New favorite jeans,These are nice jeans for the price. they are tight at first but do stretch out so i am glad i went with my normal denim size and didn't size up. i wish they didn't have a button fly but it didn't bother me enough to return them.,5,1,1,General,Bottoms,Jeans,New favorite jeans. These are nice jeans for the price. they are tight at first but do stretch out so i am glad i went with my normal denim size and didn't size up. i wish they didn't have a button fly but it didn't bother me enough to return them.,-0.9686708450317383,35-44
19351,1081,60,Easy style,"This is such a lovely dress -- and it looks great on! like other customers, i like the petal hem and the top part, which is stretchy, is soft and not clingy.
 
i think the only drawback is that the color isn't as rich a green as it looks in the pic. i've attached a pic for comparison and contrast purposes.

i'll be wearing this way into the fall!",5,1,3,General Petite,Dresses,Dresses,"Easy style. This is such a lovely dress -- and it looks great on! like other customers, i like the petal hem and the top part, which is stretchy, is soft and not clingy.
 
i think the only drawback is that the color isn't as rich a green as it looks in the pic. i've attached a pic for comparison and contrast purposes.

i'll be wearing this way into the fall!",0.998482882976532,55+
6658,977,54,Strange fit,"Well made but strange fit. the medium was long and narrow, waaay too small.",3,0,2,General Petite,Jackets,Jackets,"Strange fit. Well made but strange fit. the medium was long and narrow, waaay too small.",-0.9987502098083496,45-54
8654,774,78,"Casual,, chic and comfortable",This dress is sweatshirt material and a lovely soft grey aqua color. i purchased a medium and it is an inch above my knee...ii am so tired of seeing woman my age and much younger in jeans...i am wearing this to a cooking class and it is perfect because it is so comfortable.....it is a great replacement for jeans!!!!!!!,4,1,2,Initmates,Intimate,Lounge,"Casual,, chic and comfortable. This dress is sweatshirt material and a lovely soft grey aqua color. i purchased a medium and it is an inch above my knee...ii am so tired of seeing woman my age and much younger in jeans...i am wearing this to a cooking class and it is perfect because it is so comfortable.....it is a great replacement for jeans!!!!!!!",0.9977824091911316,55+
8434,1074,37,Great fall dress,"This dress is beautiful, and the a line shape is very flattering. i'm 5'10"" and it hits just above my knees. i'm small on top, so the keyhole slit isn't an issue for me, but it does gap more than it does on the model. this dress has lots of versatility.  like another reviewer said, you can dress it up with heels, or dress it down with boots.",5,1,0,General,Dresses,Dresses,"Great fall dress. This dress is beautiful, and the a line shape is very flattering. i'm 5'10"" and it hits just above my knees. i'm small on top, so the keyhole slit isn't an issue for me, but it does gap more than it does on the model. this dress has lots of versatility.  like another reviewer said, you can dress it up with heels, or dress it down with boots.",0.9823830127716064,35-44
670,1008,29,Cute but didn't work for me :(,"I really wanted this skirt to work but it didn't look very flattering on me. a great midi length and very cool pattern, so hopefully will work for others!",3,0,0,General,Bottoms,Skirts,"Cute but didn't work for me :(. I really wanted this skirt to work but it didn't look very flattering on me. a great midi length and very cool pattern, so hopefully will work for others!",0.9968999624252319,25-34
16296,364,34,Too much cardigan,"I was definitely wearing retailer colored glasses (my term for when something looks great on you in the dressing room but leaves you wondering what-was-i-thinking when you try it on later) when i bought this. once i tried this on at home, i basically felt like i was swallowed up by this thing -- there's so much fabric layered in front and around your shoulders that you can actually feel the weight hanging down around your neck, and it naturally sticks out rather far in the back. i wanted to love t",2,0,3,General Petite,Intimate,Lounge,"Too much cardigan. I was definitely wearing retailer colored glasses (my term for when something looks great on you in the dressing room but leaves you wondering what-was-i-thinking when you try it on later) when i bought this. once i tried this on at home, i basically felt like i was swallowed up by this thing -- there's so much fabric layered in front and around your shoulders that you can actually feel the weight hanging down around your neck, and it naturally sticks out rather far in the back. i wanted to love t",-0.9754763841629028,25-34
4466,1145,37,So many compliments!,This is such a fun dress to wear. i wanted something comfortable and flirty and this checked off both boxes. im typically a small size 6 but went w x-small on this one to hug the shoulders more.,5,1,0,General,Trend,Trend,So many compliments!. This is such a fun dress to wear. i wanted something comfortable and flirty and this checked off both boxes. im typically a small size 6 but went w x-small on this one to hug the shoulders more.,0.9984248876571655,35-44
6840,862,54,,"I agree with the other reviews, this top runs large so size down. with that being said, this is a beautiful top, love it!",5,1,1,General Petite,Tops,Knits,". I agree with the other reviews, this top runs large so size down. with that being said, this is a beautiful top, love it!",0.9761766195297241,45-54
22076,850,28,Gorgeous and so very feminine!,"Beautiful,delicate and unique cotton blouse that accentuates the waist and falls nicely down the belly. i love the floral print, very appropriate for spring/summer. i agree with the other reviewers who've mentioned that it runs small. i have a bust size of 34 dd and waist size 25 and i had to size up to 12. nevertheless, i am really looking forward to wearing this with a pair of skinny jeans and some nude pumps for a girls night out.",5,1,1,General,Tops,Blouses,"Gorgeous and so very feminine!. Beautiful,delicate and unique cotton blouse that accentuates the waist and falls nicely down the belly. i love the floral print, very appropriate for spring/summer. i agree with the other reviewers who've mentioned that it runs small. i have a bust size of 34 dd and waist size 25 and i had to size up to 12. nevertheless, i am really looking forward to wearing this with a pair of skinny jeans and some nude pumps for a girls night out.",0.9995236396789551,25-34
3340,836,35,Soft and beautiful,No only is this a beautiful update to a basic white top it is incredibly soft. i couldn't pass it up and wish it came in more colors!,5,1,8,General Petite,Tops,Blouses,Soft and beautiful. No only is this a beautiful update to a basic white top it is incredibly soft. i couldn't pass it up and wish it came in more colors!,0.9993877410888672,25-34
6470,907,41,Pretty sweater,This sweater is quite lovely. the yarn is light and delicate and the sweater is over all very feminine and figure flattering. i bought the light red color which is quite attractive and i'm not usually a fan of reds and pinks. this sweater can be worn casually with jeans or more dressed up for the office. anyone that is looking for a sweater that can be worn with almost anything should defiantly consider this one.,5,1,0,General,Tops,Fine gauge,Pretty sweater. This sweater is quite lovely. the yarn is light and delicate and the sweater is over all very feminine and figure flattering. i bought the light red color which is quite attractive and i'm not usually a fan of reds and pinks. this sweater can be worn casually with jeans or more dressed up for the office. anyone that is looking for a sweater that can be worn with almost anything should defiantly consider this one.,0.9994174242019653,35-44
